Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tina Charles,WAS,C,27,27,27,33.3,8.8,19.6,0.449,1.9,5.1,0.365,7,14.6,0.478,3.9,4.7,0.82,2.7,9.6,2.1,0.9,0.9,2.2,2.3,23.4
Brittney Griner,PHO,C,30,30,30,32.8,8.3,14.4,0.575,0.1,0.3,0.444,8.1,14.1,0.578,3.8,4.5,0.846,2.4,9.5,2.7,0.4,1.9,2.2,2.4,20.5
Breanna Stewart,SEA,F,28,28,28,33.4,6.9,15.8,0.439,1.7,5.1,0.336,5.2,10.7,0.488,4.8,5.6,0.847,1.2,9.6,2.7,1.2,1.7,1.6,1.8,20.3
Jonquel Jones,CON,F,27,27,27,31.7,7.1,13.8,0.515,1.6,4.3,0.362,5.6,9.5,0.584,3.6,4.5,0.802,2.5,11.2,2.8,1.3,1.3,2.9,3.1,19.4
Arike Ogunbowale,DAL,G,32,32,32,31.3,6.2,16.3,0.383,2.5,6.7,0.376,3.7,9.6,0.388,3.8,4.4,0.864,0.7,3.2,3.3,1.1,0,2.1,2.3,18.7
A'ja Wilson,LVA,F,32,32,32,31.9,6.5,14.6,0.444,0,0,1,6.4,14.5,0.443,5.3,6,0.876,2,9.3,3.1,0.9,1.3,1.4,1.5,18.3
Jewell Loyd,SEA,G,31,31,31,31,6.2,14.8,0.42,2.1,5.6,0.376,4.1,9.2,0.448,3.4,3.8,0.889,0.8,4,3.8,1.5,0.2,2.3,2.1,17.9
Kelsey Mitchell,IND,G,32,32,32,33.1,6.6,15.4,0.431,2.2,6.5,0.335,4.4,8.8,0.502,2.3,2.7,0.882,0.7,2.6,2.5,1.1,0.2,2,2.3,17.8
Skylar Diggins-Smith,PHO,G,32,32,32,32.5,5.5,12.3,0.45,1.6,4.2,0.37,4,8.1,0.492,5.1,6.2,0.818,0.5,3.2,5.3,1.1,0.8,2.6,2.2,17.7
Betnijah Laney,NYL,G-F,32,32,32,33.4,6.3,14.1,0.451,1.1,3.4,0.312,5.3,10.7,0.496,3,3.8,0.787,0.8,4.1,5.2,0.7,0.1,3.7,2.2,16.8
Courtney Williams,ATL,G,32,32,32,34.4,7.1,17.1,0.418,1.2,3.2,0.382,5.9,13.9,0.426,1.1,1.7,0.642,1.4,6.8,4,1.1,0.5,1.8,1.7,16.5
Ariel Atkins,WAS,G,30,30,30,30.6,5.4,13.2,0.407,2.2,6.1,0.359,3.2,7.1,0.448,3.3,3.9,0.831,1.1,2.8,2.6,1.6,0.5,2,3.2,16.2
Napheesa Collier,MIN,F,29,29,29,34.6,6,13.7,0.441,0.7,2.9,0.253,5.3,10.8,0.49,3.4,3.9,0.86,1.7,6.6,3.2,1.3,1.3,2.3,2.8,16.2
Natasha Howard,NYL,F,13,13,13,27.5,6.7,13.5,0.494,0.9,2.8,0.333,5.8,10.8,0.536,1.8,2.4,0.774,2.2,7.2,1.7,1.3,0.5,3.8,2.9,16.2
Sylvia Fowles,MIN,C,31,31,31,30.1,6.7,10.5,0.64,0,0,,6.7,10.5,0.64,2.6,3.4,0.755,2.1,10.1,1.4,1.8,1.8,2.3,2.5,16
